Date,Open,High,Low,Close,Volume,ma_200,open_pct,high_pct,low_pct,close_pct
1999-03-10,43.127063,43.153425,42.415309,43.074341,5232000,43.074341,,,,
1999-03-11,43.39067,43.641102,42.441664,43.285225,9688600,43.076439,0.73,1.32,-1.47,0.49
1999-03-12,43.127061,43.153423,41.888081,42.230778,8743600,43.068025,-0.37,-0.3,-3.23,-2.44
1999-03-15,42.547118,43.496124,42.098976,43.443401,6369000,43.07176,0.75,3.0,-0.31,2.87
1999-03-16,43.627929,43.996987,43.153426,43.812458,4905800,43.07913,0.42,1.27,-0.67,0.85
1999-03-17,43.812464,43.865186,43.364322,43.496128,3965000,43.083279,0.0,0.12,-1.02,-0.72
1999-03-18,43.443404,44.366049,43.430223,44.339687,4848400,43.095781,-0.12,2.0,-0.15,1.94
1999-03-19,44.919618,44.919618,43.179774,43.206135,7160400,43.096879,1.31,1.31,-2.62,-2.56
1999-03-22,43.390675,43.496121,42.599837,42.678921,5024800,43.09272,0.43,0.67,-1.4,-1.22
1999-03-23,42.441661,42.599828,41.097235,41.176319,10962400,43.073651,-0.56,-0.19,-3.71,-3.52
1999-03-24,41.545396,42.599848,40.912725,42.573486,8447000,43.068675,0.9,3.46,-0.64,3.39
1999-03-25,43.232497,44.12878,42.949113,44.12878,8133800,43.079223,1.55,3.65,0.88,3.65
1999-03-26,43.759734,44.260599,43.46976,43.654289,8256200,43.084945,-0.84,0.3,-1.49,-1.08
1999-03-29,44.181492,45.262304,43.917879,45.235943,5113800,43.106348,1.21,3.68,0.6,3.62
1999-03-30,45.183237,45.552295,44.735095,44.919624,4940600,43.124391,-0.12,0.7,-1.11,-0.7
1999-03-31,45.657734,45.710456,44.128779,44.260586,8256600,43.135696,1.64,1.76,-1.76,-1.47
1999-04-01,45.552297,45.60502,44.445123,45.183239,8715800,43.15607,2.92,3.04,0.42,2.08
1999-04-05,45.914768,46.883545,45.631384,46.817642,5697200,43.192503,1.62,3.76,0.99,3.62
1999-04-06,46.764933,47.423965,46.369513,46.90992,7522400,43.229492,-0.11,1.3,-0.96,0.2
1999-04-07,47.344867,47.450312,45.420493,46.422222,11923600,43.261261,0.93,1.15,-3.18,-1.04
1999-04-08,46.343156,47.015369,45.394149,46.791298,7952400,43.296386,-0.17,1.28,-2.21,0.8
1999-04-09,46.712203,47.186706,46.580396,47.081261,4946800,43.334046,-0.17,0.85,-0.45,0.62
1999-04-12,45.974073,47.081247,45.921351,46.764912,10934000,43.368184,-2.35,-0.0,-2.46,-0.67
1999-04-13,47.054893,47.160338,45.76319,46.132248,9962200,43.395687,0.62,0.85,-2.14,-1.35
1999-04-14,46.712189,46.764911,44.293541,44.550564,21253800,43.407178,1.26,1.37,-3.99,-3.43
1999-04-15,44.708753,45.229388,43.127075,45.156895,17650600,43.424588,0.36,1.52,-3.2,1.36
1999-04-16,45.051433,45.051433,43.601562,43.838814,17274000,43.42871,-0.23,-0.23,-3.44,-2.92
1999-04-19,44.128805,44.497863,41.341098,41.78265,19460600,43.412331,0.66,1.5,-5.7,-4.69
1999-04-20,41.59812,43.074352,41.2027,42.731655,17413600,43.405559,-0.44,3.09,-1.39,2.27
1999-04-21,43.127058,44.866903,42.54711,44.840542,10940400,43.419837,0.93,5.0,-0.43,4.94
1999-04-22,45.262327,46.184972,44.965762,46.053165,13630600,43.446039,0.94,3.0,0.28,2.7
1999-04-23,45.815927,47.002185,45.341424,46.659489,7064400,43.478014,-0.52,2.06,-1.55,1.32
1999-04-26,46.975802,48.082975,46.824224,47.733688,5421000,43.520359,0.68,3.05,0.35,2.3
1999-04-27,48.082987,48.320239,46.402455,47.002174,16482800,43.555004,0.73,1.23,-2.79,-1.53
1999-04-28,46.606754,46.764921,45.189835,45.394135,7676800,43.573304,-0.84,-0.5,-3.86,-3.42
1999-04-29,45.183253,45.446866,44.076079,45.025085,19148200,43.587749,-0.46,0.12,-2.9,-0.81
1999-04-30,45.657741,45.894993,43.707006,45.315044,15295200,43.604936,1.41,1.93,-2.93,0.64
1999-05-03,45.183242,45.367771,44.31991,45.077797,11109800,43.619592,-0.29,0.12,-2.2,-0.52
1999-05-04,45.15687,45.868625,44.102419,44.366032,15428400,43.627019,0.18,1.75,-2.16,-1.58
1999-05-05,44.392411,45.710476,43.047986,45.710476,12642600,43.64775,0.06,3.03,-2.97,3.03
1999-05-06,45.288682,45.684101,43.627921,44.049702,15173400,43.651749,-0.92,-0.06,-4.56,-3.63
1999-05-07,44.445129,44.814187,43.496123,44.682381,16430400,43.662004,0.9,1.74,-1.26,1.44
1999-05-10,44.97236,45.433682,44.445134,45.130527,10604200,43.676616,0.65,1.68,-0.53,1.0
1999-05-11,45.499581,46.079529,45.235968,45.842278,8800800,43.698165,0.82,2.1,0.23,1.58
1999-05-12,46.053182,46.949466,44.708756,46.791298,12507400,43.728943,0.46,2.42,-2.47,2.07
1999-05-13,47.160329,47.239413,45.710458,45.921349,9864000,43.750758,0.79,0.96,-2.31,-1.86
1999-05-14,45.025076,45.552302,44.708741,45.051437,12205400,43.7637,-1.95,-0.8,-2.64,-1.89
1999-05-17,44.656013,46.000438,44.214461,45.862041,9906800,43.784579,-0.88,2.11,-1.86,1.8
1999-05-18,45.815909,46.079522,45.130516,45.657742,9267800,43.803217,-0.1,0.47,-1.6,-0.45
1999-05-19,45.842271,46.316774,45.130516,46.290413,7985600,43.827966,0.4,1.44,-1.15,1.39
1999-05-20,46.389269,46.389269,44.945989,45.018482,5997200,43.839811,0.21,0.21,-2.9,-2.75
1999-05-21,45.156885,45.288692,44.366047,44.603298,10958600,43.847408,0.31,0.6,-1.45,-0.92
1999-05-24,44.682388,44.761472,43.179794,43.469769,9569800,43.843651,0.18,0.35,-3.19,-2.54
1999-05-25,43.417044,44.049715,41.861728,42.046257,17771200,43.825766,-0.12,1.33,-3.7,-3.27
1999-05-26,42.599832,43.390671,41.281768,43.219322,26772000,43.819732,1.32,3.2,-1.82,2.79
1999-05-27,43.047973,43.805859,42.494386,43.179779,23334800,43.813364,-0.4,1.36,-1.68,-0.09
1999-05-28,43.443406,44.1288,42.889819,43.891548,12969800,43.814142,0.61,2.2,-0.67,1.65
1999-06-01,43.812452,44.023342,42.678917,42.916168,6960200,43.805207,-0.18,0.3,-2.76,-2.22
1999-06-02,42.889809,43.865177,41.815587,43.641106,11996600,43.803574,-0.06,2.21,-2.56,1.69
1999-06-03,43.970632,43.970632,42.758013,43.021626,11147800,43.795794,0.76,0.76,-2.02,-1.42
1999-06-04,43.337958,44.491265,43.337958,44.339687,12987200,43.801206,0.74,3.42,0.74,3.06
1999-06-07,44.649418,45.545701,44.550563,45.262318,11491800,43.815744,0.7,2.72,0.48,2.08
1999-06-08,45.36776,45.578651,43.898119,44.12878,8134800,43.818859,0.23,0.7,-3.01,-2.5
1999-06-09,44.286938,44.992102,44.260577,44.866886,8384400,43.829287,0.36,1.96,0.3,1.67
1999-06-10,44.392413,44.656026,43.819055,44.352871,9392400,43.834497,-1.06,-0.47,-2.34,-1.15
1999-06-11,44.656012,44.702145,43.285226,43.680645,16567600,43.832966,0.68,0.79,-2.41,-1.52
1999-06-14,43.838827,43.838827,42.758014,42.856869,14136800,43.823253,0.36,0.36,-2.11,-1.89
1999-06-15,42.962312,43.753151,42.837096,43.496128,9147800,43.819998,0.25,2.09,-0.05,1.49
1999-06-16,44.576949,45.730255,44.524226,45.730255,15060200,43.839006,2.48,5.14,2.36,5.14
1999-06-17,45.130524,46.448588,45.130524,46.237698,16278200,43.862874,-1.31,1.57,-1.31,1.11
1999-06-18,45.815918,46.580396,45.736835,46.448589,5392800,43.888602,-0.91,0.74,-1.08,0.46
1999-06-21,46.764901,47.865484,46.685817,47.839123,10565200,43.927911,0.68,3.05,0.51,2.99
1999-06-22,47.555767,48.162077,46.39587,46.39587,10862800,43.952468,-0.59,0.68,-3.02,-3.02
1999-06-23,46.402475,47.239446,46.105911,47.127411,9607000,43.984059,0.01,1.82,-0.62,1.58
1999-06-24,47.107606,47.133967,45.974071,46.191551,14988800,44.006024,-0.04,0.01,-2.45,-1.99
1999-06-25,46.501306,46.870364,45.710467,46.132248,8635600,44.027181,0.67,1.47,-1.04,-0.13
1999-06-28,46.527649,47.292126,46.145411,47.226223,7666200,44.059012,0.86,2.51,0.03,2.37
1999-06-29,47.1867,48.056622,46.949448,47.872093,9000400,44.096953,-0.08,1.76,-0.59,1.37
1999-06-30,47.918223,50.560942,47.351455,48.610207,19467600,44.141861,0.1,5.62,-1.09,1.54
1999-07-01,48.768372,49.216514,47.924811,48.93972,6822600,44.189601,0.33,1.25,-1.41,0.68
1999-07-02,48.926552,49.611946,48.926552,49.559223,3302000,44.24303,-0.03,1.37,-0.03,1.27
1999-07-06,49.82283,50.323694,48.979269,49.242882,8794800,44.29278,0.53,1.54,-1.17,-0.64
1999-07-07,49.216508,49.532843,48.873811,49.321953,10520000,44.342821,-0.05,0.59,-0.75,0.16
1999-07-08,49.321971,50.185303,49.084719,49.981003,11225000,44.398923,0.0,1.75,-0.48,1.34
1999-07-09,50.165522,50.53458,49.796464,50.481857,4206800,44.459449,0.37,1.11,-0.37,1.0
1999-07-12,50.666384,50.929997,49.928269,50.218243,7816200,44.516751,0.37,0.89,-1.1,-0.52
1999-07-13,49.981003,50.165532,49.585583,49.981003,6230000,44.571121,-0.47,-0.1,-1.26,-0.47
1999-07-14,50.481848,50.92999,49.770093,50.831135,6909400,44.63341,1.0,1.9,-0.42,1.7
1999-07-15,51.009079,51.299053,50.725695,51.299053,6539800,44.699735,0.35,0.92,-0.21,0.92
1999-07-16,51.325406,52.063522,51.305635,51.773548,4913800,44.770121,0.05,1.49,0.01,0.92
1999-07-19,51.984454,51.984454,51.042038,51.246338,6833000,44.834561,0.41,0.41,-1.41,-1.02
1999-07-20,50.620249,50.692743,49.137427,49.269234,14837400,44.878687,-1.22,-1.08,-4.12,-3.86
1999-07-21,49.374698,49.934875,48.979278,49.506504,10980400,44.924735,0.21,1.35,-0.59,0.48
1999-07-22,49.506477,49.506477,48.10933,48.247726,15148400,44.9578,-0.0,-0.0,-2.82,-2.54
