entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,holding_days
2005-05-26,2006-06-12,32.45501,32.578929,154059,19091,0.0038,0.0,3,qqq,signal,382
2005-05-26,2006-06-12,0.475039,0.40959,10525454,-688884,-0.1378,0.0,3,tqqq,signal,382
2006-09-29,2007-10-02,0.47175,0.788392,1185776,375466,0.6712,0.0,3,tqqq,rebalance,368
2006-09-29,2008-01-17,36.45307,39.65091,153620,491252,0.0877,0.0,3,qqq,signal,475
2006-09-29,2008-01-17,0.47175,0.504621,8703155,286078,0.0697,0.0,3,tqqq,signal,475
2008-05-07,2008-07-03,42.251716,38.627537,124054,-449594,-0.0858,0.0,3,qqq,signal,57
2008-05-07,2008-07-03,0.555779,0.414298,9430903,-1334293,-0.2546,0.0,3,tqqq,signal,57
2009-06-04,2009-10-02,0.128492,0.172591,3153433,139061,0.3432,0.0,3,tqqq,rebalance,120
2009-06-04,2010-01-05,0.128492,0.250652,3117237,380800,0.9507,0.0,3,tqqq,rebalance,215
2009-06-04,2010-07-02,32.903545,37.098419,18790,78822,0.1275,0.0,3,qqq,rebalance,393
2009-06-04,2010-10-04,0.135088,0.267274,3583751,473721,0.9785,0.0,3,tqqq,rebalance,487
2009-06-04,2011-01-04,0.135088,0.387767,2775640,701347,1.8705,0.0,3,tqqq,rebalance,579
2009-06-04,2011-08-09,35.794033,45.012828,198105,1826289,0.2576,0.0,3,qqq,signal,796
2009-06-04,2011-08-09,0.135088,0.288113,25034360,3830885,1.1328,0.0,3,tqqq,signal,796
2011-10-17,2012-04-03,0.390699,0.613639,2542823,566897,0.5706,0.0,3,tqqq,rebalance,169
2011-10-17,2012-06-04,52.498829,53.49648,21126,21076,0.019,0.0,3,qqq,rebalance,231
2011-10-17,2012-09-05,0.39474,0.584649,2057020,390646,0.4811,0.0,3,tqqq,rebalance,324
2011-10-17,2013-10-02,0.39474,0.900017,2316814,1170632,1.28,0.0,3,tqqq,rebalance,716
2011-10-17,2014-03-04,0.39474,1.344127,1551282,1472767,2.4051,0.0,3,tqqq,rebalance,869
2011-10-17,2014-09-03,0.39474,1.79161,1361285,1901538,3.5387,0.0,3,tqqq,rebalance,1052
2011-10-17,2015-08-25,62.110856,94.014384,262885,8386959,0.5137,0.0,3,qqq,signal,1408
2011-10-17,2015-08-25,0.39474,1.774839,13491210,18619209,3.4962,0.0,3,tqqq,signal,1408
2015-10-28,2016-01-14,105.195071,94.743959,231283,-2417165,-0.0993,0.0,3,qqq,signal,78
2015-10-28,2016-01-14,2.384817,1.713563,10201991,-6848129,-0.2815,0.0,3,tqqq,signal,78
2016-04-05,2017-02-02,2.037089,2.961106,1030077,951809,0.4536,0.0,3,tqqq,rebalance,303
2016-04-05,2017-06-02,2.037089,4.305621,893858,2027746,1.1136,0.0,3,tqqq,rebalance,423
2016-04-05,2018-02-02,2.037089,6.773738,1017263,4818417,2.3252,0.0,3,tqqq,rebalance,668
2016-04-05,2018-04-03,115.057484,148.481103,26498,885659,0.2905,0.0,3,qqq,rebalance,728
2016-04-05,2018-08-02,2.364682,7.246104,749276,3657532,2.0643,0.0,3,tqqq,rebalance,849
2016-04-05,2018-11-21,120.8073,153.323798,296895,9653986,0.2692,0.0,3,qqq,signal,960
2016-04-05,2018-11-21,2.364682,5.23885,6710640,19287506,1.2155,0.0,3,tqqq,signal,960
2019-02-28,2019-12-03,6.102145,8.617195,695984,1750435,0.4122,0.0,3,tqqq,rebalance,278
2019-02-28,2020-03-13,168.985783,179.742102,274200,2949383,0.0637,0.0,3,qqq,signal,379
2019-02-28,2020-03-13,6.102145,6.228562,5914570,747705,0.0207,0.0,3,tqqq,signal,379
2020-04-20,2020-07-02,7.819365,12.434471,648083,2990972,0.5902,0.0,3,tqqq,rebalance,73
2020-04-20,2020-09-02,7.819365,20.922437,684755,8972394,1.6757,0.0,3,tqqq,rebalance,135
2020-04-20,2020-11-03,225.788811,262.319071,32515,1187781,0.1618,0.0,3,qqq,rebalance,197
2020-04-20,2020-12-02,8.636445,19.340261,467179,5000598,1.2394,0.0,3,tqqq,rebalance,226
2020-04-20,2021-07-02,8.636445,29.72159,450474,9498309,2.4414,0.0,3,tqqq,rebalance,438
2020-04-20,2022-01-04,8.636445,40.9745,363114,11742400,3.7444,0.0,3,tqqq,rebalance,624
2020-04-20,2022-01-26,261.709516,342.659252,364559,29510955,0.3093,0.0,3,qqq,signal,646
2020-04-20,2022-01-26,8.636445,27.179618,3486207,64645338,2.1471,0.0,3,tqqq,signal,646
2023-03-22,2023-06-02,12.471686,17.628833,826472,4262238,0.4135,0.0,3,tqqq,rebalance,72
2023-03-22,2024-02-02,12.471686,26.90295,847071,12224305,1.1571,0.0,3,tqqq,rebalance,317
2023-03-22,2024-12-03,12.471686,40.307876,720118,20045341,2.232,0.0,3,tqqq,rebalance,622
2023-03-22,2025-04-02,344.169436,462.483016,58261,6893067,0.3438,0.0,3,qqq,rebalance,742
2023-03-22,2025-04-04,344.169436,434.721333,453758,41088648,0.2631,0.0,3,qqq,signal,744
2023-03-22,2025-04-04,14.499756,22.80448,7374518,61243338,0.5727,0.0,3,tqqq,signal,744
2025-05-16,2025-10-02,35.472617,53.16154,546364,9664591,0.4987,0.0,3,tqqq,rebalance,139
