date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2010-02-18,sso,0,1637967,0.0,35.26,0,3536483,1637967,3536483,daily
2010-02-18,qld,0,0,0.0,0.0,0,0,0,0,daily
2010-02-18,gld,13985,13708,15.3,15.03,1527861,1507605,-277,-20256,daily
2010-02-18,tlt,25981,26723,14.58,14.87,1455779,1491320,742,35541,daily
2010-02-18,cash,0,0,70.12,34.84,7000137,3494326,0,-3505811,daily
2010-05-04,sso,1637967,1478059,38.68,33.78,4184117,3595198,-159908,-588919,monthly
2010-05-04,qld,0,0,0.0,0.0,0,0,0,0,monthly
2010-05-04,gld,13708,14018,14.66,15.13,1586426,1610247,310,23821,monthly
2010-05-04,tlt,26723,27905,14.36,15.51,1552925,1650794,1182,97869,monthly
2010-05-04,cash,0,0,32.3,35.58,3494326,3786289,0,291963,monthly
2010-05-14,sso,1478059,1575595,32.86,34.42,3487106,3583843,97536,96737,daily
2010-05-14,qld,0,3847616,0.0,34.75,0,3617505,3847616,3617505,daily
2010-05-14,gld,14018,13211,15.92,15.27,1690010,1590208,-807,-99802,daily
2010-05-14,tlt,27905,26939,15.54,15.56,1649380,1619941,-966,-29439,daily
2010-05-14,cash,0,0,35.68,0.0,3786289,0,0,-3786289,daily
2010-06-02,sso,1575595,1691048,32.58,35.59,3177373,3585476,115453,408103,monthly
2010-06-02,qld,3847616,3940318,34.16,35.53,3331819,3579451,92702,247632,monthly
2010-06-02,gld,13211,12192,16.24,14.5,1584131,1460357,-1019,-123774,monthly
2010-06-02,tlt,26939,23747,17.01,14.38,1659182,1448691,-3192,-210491,monthly
2010-06-02,cash,0,0,0.0,0.0,0,0,0,0,monthly
2010-07-01,sso,1691048,0,34.13,0.0,3143298,0,-1691048,-3143298,
2010-07-01,qld,3940318,3940318,33.08,33.15,3046082,3028024,0,-18058,
2010-07-01,gld,12192,12192,16.11,15.62,1483522,1426951,0,-56571,
2010-07-01,tlt,23747,23747,16.68,16.85,1536583,1539006,0,2423,
2010-07-01,cash,0,0,0.0,34.38,0,3139707,0,3139707,
2010-07-02,sso,0,0,0.0,0.0,0,0,0,0,monthly
2010-07-02,qld,3940318,4158667,33.15,34.84,3028024,3177392,218349,149368,monthly
2010-07-02,gld,12192,11710,15.62,15.21,1426951,1387517,-482,-39434,monthly
2010-07-02,tlt,23747,21120,16.85,14.89,1539006,1357843,-2627,-181163,monthly
