Date,equity,cash,rebalanced,rebalance_reason,sso_value,sso_weight,sso_signal,sso_shares,sso_avg_price,sso_realized_pnl,sso_unrealized_pnl,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,gld_value,gld_weight,gld_signal,gld_shares,gld_avg_price,gld_realized_pnl,gld_unrealized_pnl,tlt_value,tlt_weight,tlt_signal,tlt_shares,tlt_avg_price,tlt_realized_pnl,tlt_unrealized_pnl,drawdown_pct,sso_current_price,sso_return_pct,sso_contribution,qld_current_price,qld_return_pct,qld_contribution,gld_current_price,gld_return_pct,gld_contribution,tlt_current_price,tlt_return_pct,tlt_contribution,total_pnl,total_return_pct
2007-04-09,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,0,0.0,buy,0,0.0,0,0,0,0.0,buy,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2007-04-10,9991712,7000073,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1495452,0.1497,buy,22267,67.361484,0,-4486,1496187,0.1497,buy,31235,48.022703,0,-3802,-0.08,0.0,0.0,0,0.0,0.0,0,67.160004,-0.29910269192421346,-4486,47.900982,-0.2534659440101339,-3802,-8288.317046733573,-0.08288317046733573
2007-04-11,9988902,7000073,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1493670,0.1495,buy,22267,67.361484,0,-6268,1495159,0.1497,buy,31235,48.022703,0,-4830,-0.11,0.0,0.0,0,0.0,0.0,0,67.080002,-0.4178678901282096,-6268,47.868065,-0.32201060686319893,-4830,-11097.884075734764,-0.11097884075734765
2007-04-12,9987241,7000073,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1491666,0.1494,buy,22267,67.361484,0,-8272,1495502,0.1497,buy,31235,48.022703,0,-4487,-0.13,0.0,0.0,0,0.0,0.0,0,66.989998,-0.5514813360314563,-8272,47.87904,-0.2991568329830607,-4487,-12759.199018733576,-0.12759199018733575
2007-04-13,10001547,7000073,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1510593,0.151,buy,22267,67.361484,0,10655,1490882,0.1491,buy,31235,48.022703,0,-9108,0.0,0.0,0.0,0,0.0,0.0,0,67.839996,0.710364379613071,10655,47.731121,-0.6071757285252888,-9108,1547.4564822670072,0.015474564822670072
2007-04-16,10022232,7000073,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1523063,0.152,buy,22267,67.361484,0,23125,1499096,0.1496,buy,31235,48.022703,0,-893,0.0,0.0,0.0,0,0.0,0.0,0,68.400002,1.5417088908180832,23125,47.994118,-0.059524341814198856,-893,22231.82137926668,0.2223182137926668
2007-04-17,10021710,7000073,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1514156,0.1511,buy,22267,67.361484,0,14218,1507481,0.1504,buy,31235,48.022703,0,7492,-0.01,0.0,0.0,0,0.0,0.0,0,68.0,0.9478947760210632,14218,48.262554,0.499452937938738,7492,21709.575305266306,0.21709575305266307
2007-04-18,10037701,7000073,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1522617,0.1517,buy,22267,67.361484,0,22679,1515011,0.1509,buy,31235,48.022703,0,15022,0.0,0.0,0.0,0,0.0,0.0,0,68.379997,1.5120109108917035,22679,48.503628,1.0014530002968147,15022,37700.914894266054,0.3770091489426605
2007-04-19,10016208,7000073,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1503690,0.1501,buy,22267,67.361484,0,3752,1512445,0.151,buy,31235,48.022703,0,12455,-0.21,0.0,0.0,0,0.0,0.0,0,67.529999,0.2501651952471651,3752,48.421467,0.8303651719810068,12455,16207.710593266413,0.16207710593266414
2007-04-20,10038324,7000073,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1529743,0.1524,buy,22267,67.361484,0,29805,1508508,0.1503,buy,31235,48.022703,0,8519,0.0,0.0,0.0,0,0.0,0.0,0,68.699997,1.9870598274847273,29805,48.295437,0.5679268009456173,8519,38323.50900926627,0.3832350900926627
