Date,equity,cash,is_month_start,rebalanced,rebalance_reason,sso_close,sso_shares,sso_weight,sso_signal_today,sso_pending_intent,sso_pending_reason,sso_pending_delta,sso_executed_intent,sso_exec_side,sso_exec_shares,sso_exec_price,qld_close,qld_shares,qld_weight,qld_signal_today,qld_pending_intent,qld_pending_reason,qld_pending_delta,qld_executed_intent,qld_exec_side,qld_exec_shares,qld_exec_price,ugl_close,ugl_shares,ugl_weight,ugl_signal_today,ugl_pending_intent,ugl_pending_reason,ugl_pending_delta,ugl_executed_intent,ugl_exec_side,ugl_exec_shares,ugl_exec_price,ubt_close,ubt_shares,ubt_weight,ubt_signal_today,ubt_pending_intent,ubt_pending_reason,ubt_pending_delta,ubt_executed_intent,ubt_exec_side,ubt_exec_shares,ubt_exec_price
2010-01-21,10000000,10000000,False,False,,2.198648,0,0.0,hold,,,0.0,,,0,0.0,0.894972,0,0.0,hold,,,0.0,,,0,0.0,11.135,0,0.0,buy,ENTER_TO_TARGET,signal_buy+rebalance,1500000.0,,,0,0.0,14.576315,0,0.0,buy,ENTER_TO_TARGET,signal_buy+rebalance,1500000.0,,,0,0.0
2010-01-22,9997021,7000020,False,False,,2.102856,0,0.0,hold,,,0.0,,,0,0.0,0.843485,0,0.0,hold,,,0.0,,,0,0.0,11.1,135401,0.1503,hold,,,0.0,ENTER_TO_TARGET,buy,135401,11.045,14.505756,102997,0.1494,hold,,,0.0,ENTER_TO_TARGET,buy,102997,14.519867
2010-01-25,9989704,7000020,False,False,,2.120639,0,0.0,hold,,,0.0,,,0,0.0,0.848374,0,0.0,hold,,,0.0,,,0,0.0,11.1625,135401,0.1513,hold,,,0.0,,,0,0.0,14.352556,102997,0.148,hold,,,0.0,,,0,0.0
2010-01-26,9983891,7000020,False,False,,2.103429,0,0.0,hold,,,0.0,,,0,0.0,0.850207,0,0.0,hold,,,0.0,,,0,0.0,11.1625,135401,0.1514,hold,,,0.0,,,0,0.0,14.296117,102997,0.1475,hold,,,0.0,,,0,0.0
2010-01-27,9964985,7000020,False,False,,2.123506,0,0.0,hold,,,0.0,,,0,0.0,0.862888,0,0.0,hold,,,0.0,,,0,0.0,10.96,135401,0.1489,hold,,,0.0,,,0,0.0,14.378763,102997,0.1486,hold,,,0.0,,,0,0.0
2010-01-28,9957348,7000020,False,False,,2.074749,0,0.0,hold,,,0.0,,,0,0.0,0.819805,0,0.0,hold,,,0.0,,,0,0.0,10.945,135401,0.1488,hold,,,0.0,,,0,0.0,14.324337,102997,0.1482,hold,,,0.0,,,0,0.0
2010-01-29,9969837,7000020,False,False,,2.02886,0,0.0,hold,,,0.0,,,0,0.0,0.790472,0,0.0,hold,,,0.0,,,0,0.0,10.8425,135401,0.1473,hold,,,0.0,,,0,0.0,14.580344,102997,0.1506,hold,,,0.0,,,0,0.0
2010-02-01,10011554,7000020,True,False,,2.09081,0,0.0,hold,,,0.0,,,0,0.0,0.806972,0,0.0,hold,,,0.0,,,0,0.0,11.33,135401,0.1532,hold,,,0.0,,,0,0.0,14.344496,102997,0.1476,hold,,,0.0,,,0,0.0
2010-02-02,10038670,7000020,False,False,,2.142436,0,0.0,hold,,,0.0,,,0,0.0,0.821791,0,0.0,hold,,,0.0,,,0,0.0,11.495,135401,0.155,hold,,,0.0,,,0,0.0,14.390857,102997,0.1477,hold,,,0.0,,,0,0.0
2010-02-03,9990195,7000020,False,False,,2.121785,0,0.0,hold,,,0.0,,,0,0.0,0.831263,0,0.0,hold,,,0.0,,,0,0.0,11.39,135401,0.1544,hold,,,0.0,,,0,0.0,14.058248,102997,0.1449,hold,,,0.0,,,0,0.0
