Date,equity,cash,rebalanced,spy_value,spy_weight,spy_signal,gld_value,gld_weight,gld_signal,tlt_value,tlt_weight,tlt_signal,drawdown_pct
2004-11-18,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-11-19,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-11-22,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-11-23,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-11-24,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-11-26,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-11-29,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-11-30,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-12-01,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-12-02,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-12-03,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-12-06,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-12-07,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-12-08,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-12-09,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,buy,0.0
2004-12-10,9991776,8000028,False,0,0.0,sell,0,0.0,sell,1991749,0.1993,buy,-0.08
2004-12-13,9996036,8000028,False,0,0.0,sell,0,0.0,sell,1996009,0.1997,buy,-0.04
2004-12-14,10003882,8000028,False,0,0.0,sell,0,0.0,sell,2003854,0.2003,buy,0.0
2004-12-15,10022041,8000028,False,0,0.0,sell,0,0.0,sell,2022013,0.2018,buy,0.0
2004-12-16,9992226,8000028,False,0,0.0,sell,0,0.0,sell,1992199,0.1994,buy,-0.3
2004-12-17,9989534,8000028,False,0,0.0,sell,0,0.0,sell,1989507,0.1992,buy,-0.32
2004-12-20,9993123,8000028,False,0,0.0,sell,0,0.0,sell,1993095,0.1994,buy,-0.29
2004-12-21,9999176,8000028,False,0,0.0,sell,0,0.0,sell,1999148,0.1999,buy,-0.23
2004-12-22,9992449,8000028,False,0,0.0,sell,0,0.0,sell,1992422,0.1994,buy,-0.3
2004-12-23,9985949,8000028,False,0,0.0,sell,0,0.0,sell,1985921,0.1989,buy,-0.36
2004-12-27,9970481,8000028,False,0,0.0,sell,0,0.0,sell,1970453,0.1976,buy,-0.51
2004-12-28,9968911,8000028,False,0,0.0,sell,0,0.0,sell,1968884,0.1975,buy,-0.53
2004-12-29,9966895,8000028,False,0,0.0,sell,0,0.0,sell,1966868,0.1973,buy,-0.55
2004-12-30,9980120,8000028,False,0,0.0,sell,0,0.0,sell,1980092,0.1984,buy,-0.42
2004-12-31,9992607,8000028,False,0,0.0,sell,0,0.0,sell,1992580,0.1994,buy,-0.29
2005-01-03,9996885,8000028,False,0,0.0,sell,0,0.0,sell,1996858,0.1997,buy,-0.25
2005-01-04,9975958,8000028,False,0,0.0,sell,0,0.0,sell,1975930,0.1981,buy,-0.46
2005-01-05,9986534,8000028,False,0,0.0,sell,0,0.0,sell,1986507,0.1989,buy,-0.35
2005-01-06,9987883,8000028,False,0,0.0,sell,0,0.0,sell,1987855,0.199,buy,-0.34
2005-01-07,9992384,8000028,False,0,0.0,sell,0,0.0,sell,1992357,0.1994,buy,-0.3
2005-01-10,9995534,8000028,False,0,0.0,sell,0,0.0,sell,1995507,0.1996,buy,-0.26
2005-01-11,10007235,8000028,False,0,0.0,sell,0,0.0,sell,2007207,0.2006,buy,-0.15
2005-01-12,10009936,8000028,False,0,0.0,sell,0,0.0,sell,2009908,0.2008,buy,-0.12
2005-01-13,10029287,8000028,False,0,0.0,sell,0,0.0,sell,2029259,0.2023,buy,0.0
2005-01-14,10029063,8000028,False,0,0.0,sell,0,0.0,sell,2029036,0.2023,buy,-0.0
2005-01-18,10035813,8000028,False,0,0.0,sell,0,0.0,sell,2035785,0.2029,buy,0.0
2005-01-19,10041665,8000028,False,0,0.0,sell,0,0.0,sell,2041637,0.2033,buy,0.0
2005-01-20,10045715,8000028,False,0,0.0,sell,0,0.0,sell,2045687,0.2036,buy,0.0
2005-01-21,10047965,8000028,False,0,0.0,sell,0,0.0,sell,2047937,0.2038,buy,0.0
2005-01-24,10056741,8000028,False,0,0.0,sell,0,0.0,sell,2056714,0.2045,buy,0.0
2005-01-25,10037388,8000028,False,0,0.0,sell,0,0.0,sell,2037361,0.203,buy,-0.19
2005-01-26,10041213,8000028,False,0,0.0,sell,0,0.0,sell,2041186,0.2033,buy,-0.15
2005-01-27,10037388,8000028,False,0,0.0,sell,0,0.0,sell,2037361,0.203,buy,-0.19
2005-01-28,10057865,8000028,False,0,0.0,buy,0,0.0,sell,2057838,0.2046,buy,0.0
2005-01-31,10056380,1965326,False,6027364,0.5994,buy,0,0.0,sell,2063690,0.2052,buy,-0.01
2005-02-01,10091359,1965326,False,6065619,0.6011,buy,0,0.0,sell,2060415,0.2042,buy,0.0
2005-02-02,10114463,1965326,False,6083982,0.6015,buy,0,0.0,sell,2065155,0.2042,buy,0.0
2005-02-03,10097526,1965326,False,6068173,0.601,buy,0,0.0,sell,2064027,0.2044,buy,-0.17
2005-02-04,10190993,1965326,False,6132954,0.6018,buy,0,0.0,sell,2092714,0.2053,buy,0.0
2005-02-07,10198417,1965326,False,6124794,0.6006,buy,0,0.0,sell,2108297,0.2067,buy,0.0
2005-02-08,10217530,1965326,False,6131934,0.6001,buy,0,0.0,sell,2120270,0.2075,buy,0.0
2005-02-09,10177268,1965326,False,6086024,0.598,buy,0,0.0,sell,2125918,0.2089,buy,-0.39
2005-02-10,10170513,1965326,False,6107956,0.6006,buy,0,0.0,sell,2097231,0.2062,buy,-0.46
2005-02-11,10221702,1965326,False,6160501,0.6027,buy,0,0.0,sell,2095876,0.205,buy,0.0
2005-02-14,10223660,1965326,False,6155908,0.6021,buy,0,0.0,sell,2102426,0.2056,buy,0.0
2005-02-15,10236001,1965326,False,6178864,0.6036,buy,0,0.0,sell,2091811,0.2044,buy,0.0
2005-02-16,10232175,1965326,False,6182946,0.6043,buy,0,0.0,sell,2083904,0.2037,buy,-0.04
2005-02-17,10169082,1965326,False,6132954,0.6031,buy,0,0.0,sell,2070803,0.2036,buy,-0.65
2005-02-18,10158720,1965326,False,6141113,0.6045,buy,0,0.0,sell,2052281,0.202,buy,-0.75
2005-02-22,10058378,1965326,False,6049806,0.6015,buy,0,0.0,sell,2043247,0.2031,buy,-1.74
2005-02-23,10108517,1965326,False,6093166,0.6028,buy,0,0.0,sell,2050025,0.2028,buy,-1.25
2005-02-24,10144295,1965326,False,6133464,0.6046,buy,0,0.0,sell,2045505,0.2016,buy,-0.9
2005-02-25,10214937,1965326,False,6194166,0.6064,buy,0,0.0,sell,2055445,0.2012,buy,-0.21
2005-02-28,10151993,1965326,False,6153358,0.6061,buy,0,0.0,sell,2033309,0.2003,buy,-0.82
2005-03-01,10181964,1965326,False,6183965,0.6073,buy,0,0.0,sell,2032674,0.1996,buy,-0.53
2005-03-02,10176186,1965326,False,6180905,0.6074,buy,0,0.0,sell,2029956,0.1995,buy,-0.58
2005-03-03,10177600,1965326,False,6183453,0.6076,buy,0,0.0,sell,2028822,0.1993,buy,-0.57
2005-03-04,10276606,1965326,False,6260480,0.6092,buy,0,0.0,sell,2050801,0.1996,buy,0.0
