entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,holding_days
1993-11-30,1998-09-01,25.938059,58.969582,385533,12734742,1.2735,0.03,3,1736
1998-11-06,2000-10-12,70.321445,86.40086,323297,5198427,0.2287,0.03,3,706
2003-05-02,2008-01-09,60.06838,98.772787,465022,17998401,0.6443,0.03,3,1713
2009-06-10,2010-06-30,70.353632,78.010925,652867,4999194,0.1088,0.03,3,385
2010-09-30,2011-08-05,87.350937,93.236979,583059,3431910,0.0674,0.03,3,309
2012-01-17,2015-08-25,101.364672,162.448208,536307,32759528,0.6026,0.03,3,1316
2016-04-18,2018-12-17,176.602328,230.01458,493324,26349546,0.3024,0.03,3,973
2019-03-21,2020-03-10,252.91717,258.676514,448651,2583936,0.0228,0.03,3,355
2020-06-08,2022-03-08,294.483887,393.643939,394098,39078778,0.3367,0.03,3,638
2023-02-06,2025-04-04,393.010141,514.855309,394733,48096309,0.31,0.03,3,788
