Date,equity,cash,rebalanced,rebalance_reason,qqq_value,qqq_weight,qqq_signal,qqq_shares,qqq_avg_price,qqq_realized_pnl,qqq_unrealized_pnl,drawdown_pct
2004-11-18,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-11-19,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-11-22,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-11-23,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-11-24,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-11-26,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-11-29,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-11-30,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-12-01,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-12-02,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-12-03,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-12-06,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-12-07,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-12-08,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-12-09,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-12-10,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-12-13,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-12-14,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-12-15,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-12-16,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-12-17,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-12-20,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-12-21,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-12-22,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2004-12-23,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
