Date,equity,cash,rebalanced,rebalance_reason,qqq_value,qqq_weight,qqq_signal,qqq_shares,qqq_avg_price,qqq_realized_pnl,qqq_unrealized_pnl,drawdown_pct
2010-01-21,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-01-22,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-01-25,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-01-26,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-01-27,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-01-28,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-01-29,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-01,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-02,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-03,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-04,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-05,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-08,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-09,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-10,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-11,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-12,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-16,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-17,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-18,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-19,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-22,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-23,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-24,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-25,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-02-26,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-01,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-02,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-03,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-04,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-05,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-08,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-09,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-10,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-11,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-12,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-15,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-16,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-17,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-18,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-19,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-22,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-23,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-24,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-25,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-26,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-29,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-30,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-03-31,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-04-01,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-04-05,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-04-06,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
2010-04-07,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0
