Date,equity,position,upper_band,lower_band,buy_buffer_pct,sell_buffer_pct,drawdown_pct
1999-03-10,10000000,0,44.366567,40.92062,0.03,0.05,0.0
1999-03-11,10000000,0,44.369444,40.923274,0.03,0.05,0.0
1999-03-12,10000000,0,44.357898,40.912624,0.03,0.05,0.0
1999-03-15,10000000,0,44.363047,40.917374,0.03,0.05,0.0
1999-03-16,10000000,0,44.373164,40.926705,0.03,0.05,0.0
1999-03-17,10000000,0,44.37883,40.931931,0.03,0.05,0.0
1999-03-18,10000000,0,44.39593,40.947703,0.03,0.05,0.0
1999-03-19,10000000,0,44.39734,40.949003,0.03,0.05,0.0
1999-03-22,10000000,0,44.391538,40.943651,0.03,0.05,0.0
1999-03-23,10000000,0,44.365313,40.919464,0.03,0.05,0.0
1999-03-24,10000000,0,44.358497,40.913177,0.03,0.05,0.0
1999-03-25,10000000,0,44.372989,40.926544,0.03,0.05,0.0
1999-03-26,10000000,0,44.380816,40.933763,0.03,0.05,0.0
1999-03-29,10000000,0,44.410117,40.960788,0.03,0.05,0.0
1999-03-30,10000000,0,44.434715,40.983475,0.03,0.05,0.0
1999-03-31,10000000,0,44.449996,40.997569,0.03,0.05,0.0
1999-04-01,10000000,0,44.477661,41.023086,0.03,0.05,0.0
1999-04-05,10000000,0,44.527257,41.06883,0.03,0.05,0.0
1999-04-06,10000000,0,44.577455,41.115129,0.03,0.05,0.0
1999-04-07,10000000,0,44.620335,41.154678,0.03,0.05,0.0
1999-04-08,10000000,0,44.667682,41.198348,0.03,0.05,0.0
1999-04-09,10000000,0,44.718358,41.245087,0.03,0.05,0.0
1999-04-12,10505101,228471,44.764047,41.287227,0.03,0.05,0.0
1999-04-13,10073322,228471,44.800499,41.320849,0.03,0.05,-4.11
1999-04-14,9032008,228471,44.814891,41.334123,0.03,0.05,-14.02
1999-04-15,9396105,228471,44.837364,41.35485,0.03,0.05,-10.56
1999-04-16,8568481,228471,44.841557,41.358718,0.03,0.05,-18.44
1999-04-19,7358384,228471,44.817644,41.336662,0.03,0.05,-29.95
1999-04-20,7855986,228471,44.806994,41.326839,0.03,0.05,-25.22
1999-04-21,9015050,228471,44.825256,41.343683,0.03,0.05,-14.18
1999-04-22,9741785,228471,44.859819,41.375561,0.03,0.05,-7.27
1999-04-23,10121520,228471,44.902196,41.414646,0.03,0.05,-3.65
1999-04-26,10815372,228471,44.958666,41.466731,0.03,0.05,0.0
1999-04-27,10312550,228471,45.004409,41.508921,0.03,0.05,-4.65
1999-04-28,9248792,228471,45.027608,41.530318,0.03,0.05,-14.48
1999-04-29,9018445,228471,45.045465,41.546788,0.03,0.05,-16.61
1999-04-30,9188031,228471,45.067042,41.566689,0.03,0.05,-15.05
1999-05-03,9038973,228471,45.085096,41.583341,0.03,0.05,-16.42
1999-05-04,8606155,228471,45.093201,41.590816,0.03,0.05,-20.43
1999-05-05,9384079,228471,45.11954,41.615109,0.03,0.05,-13.23
1999-05-06,8356415,228471,45.122873,41.618184,0.03,0.05,-22.74
1999-05-07,8712167,228471,45.134793,41.629178,0.03,0.05,-19.45
1999-05-10,8969803,228471,45.152669,41.645666,0.03,0.05,-17.06
1999-05-11,9389548,228471,45.180019,41.670891,0.03,0.05,-13.18
1999-05-12,9967844,228471,45.219952,41.707723,0.03,0.05,-7.84
1999-05-13,9406751,228471,45.247489,41.733121,0.03,0.05,-13.02
1999-05-14,8867299,228471,45.262794,41.747237,0.03,0.05,-18.01
1999-05-17,9341376,228471,45.288954,41.771366,0.03,0.05,-13.63
1999-05-18,9211716,228471,45.311981,41.792604,0.03,0.05,-14.83
1999-05-19,9589888,228471,45.343334,41.821522,0.03,0.05,-11.33
1999-05-20,8794428,228471,45.35692,41.834052,0.03,0.05,-18.69
1999-05-21,8546568,228471,45.364661,41.841192,0.03,0.05,-20.98
1999-05-24,7890560,228471,45.356836,41.833975,0.03,0.05,-27.04
1999-05-25,7111307,228471,45.329694,41.808941,0.03,0.05,-34.25
1999-05-26,7702851,228471,45.318916,41.799,0.03,0.05,-28.78
1999-05-27,7677735,228471,45.307741,41.788693,0.03,0.05,-29.01
1999-05-28,8053445,228471,45.306423,41.787478,0.03,0.05,-25.54
1999-06-01,7512367,228471,45.291817,41.774006,0.03,0.05,-30.54
1999-06-02,7889166,228471,45.287294,41.769834,0.03,0.05,-27.06
1999-06-03,7549121,228471,45.27438,41.757923,0.03,0.05,-30.2
1999-06-04,8239050,228471,45.279618,41.762755,0.03,0.05,-23.82
1999-06-07,8749109,228471,45.297374,41.779132,0.03,0.05,-19.1
1999-06-08,8087253,228471,45.299431,41.781029,0.03,0.05,-25.22
1999-06-09,8488867,228471,45.31153,41.792188,0.03,0.05,-21.51
1999-06-10,8192682,228471,45.316456,41.796731,0.03,0.05,-24.25
1999-06-11,7815933,228471,45.312146,41.792756,0.03,0.05,-27.73
1999-06-14,7369672,228471,45.296655,41.778468,0.03,0.05,-31.86
1999-06-15,7695642,228471,45.29009,41.772413,0.03,0.05,-28.85
1999-06-16,8877480,228471,45.314091,41.79455,0.03,0.05,-17.92
1999-06-17,9168401,228471,45.344696,41.822778,0.03,0.05,-15.23
1999-06-18,9289110,228471,45.377774,41.853287,0.03,0.05,-14.11
1999-06-21,10118577,228471,45.429383,41.900888,0.03,0.05,-6.44
1999-06-22,9197500,228471,45.46062,41.929698,0.03,0.05,-14.96
1999-06-23,9627785,228471,45.501422,41.967331,0.03,0.05,-10.98
1999-06-24,9049252,228471,45.528917,41.992691,0.03,0.05,-16.33
1999-06-25,9009709,228471,45.555239,42.016968,0.03,0.05,-16.7
1999-06-28,9646011,228471,45.596137,42.054689,0.03,0.05,-10.81
1999-06-29,10036754,228471,45.645304,42.100037,0.03,0.05,-7.2
1999-06-30,10495795,228471,45.703889,42.154073,0.03,0.05,-2.95
1999-07-01,10703531,228471,45.766194,42.211538,0.03,0.05,-1.03
1999-07-02,11104143,228471,45.836125,42.276038,0.03,0.05,0.0
1999-07-06,10885443,228471,45.900815,42.335703,0.03,0.05,-1.97
1999-07-07,10931966,228471,45.965726,42.395573,0.03,0.05,-1.55
1999-07-08,11364202,228471,46.038768,42.462942,0.03,0.05,0.0
1999-07-09,11699651,228471,46.117676,42.535721,0.03,0.05,0.0
1999-07-12,11509986,228471,46.191943,42.604219,0.03,0.05,-1.62
1999-07-13,11340562,228471,46.261989,42.668825,0.03,0.05,-3.07
1999-07-14,11913080,228471,46.342705,42.743272,0.03,0.05,0.0
1999-07-15,12235547,228471,46.428736,42.822621,0.03,0.05,0.0
1999-07-16,12568399,228471,46.520101,42.906889,0.03,0.05,0.0
1999-07-19,12177578,228471,46.603063,42.983408,0.03,0.05,-3.11
