entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,holding_days
1999-08-23,2000-04-13,45.875072,114.536895,217983,14967110,1.4967,0.03,5,234
2000-08-25,2000-09-18,90.555662,70.698496,275710,-5474819,-0.2193,0.03,5,24
2001-11-21,2002-02-06,1.347321,1.074047,14467445,-3953572,-0.2028,0.03,5,77
2002-11-07,2003-02-05,0.23701,0.175898,65561474,-4006605,-0.2578,0.03,5,90
2003-04-28,2004-03-09,0.229172,0.455574,50320678,11392687,0.9879,0.03,5,316
2004-11-04,2005-01-25,0.468982,0.448924,48882076,-980455,-0.0428,0.03,5,82
2005-06-06,2005-10-11,0.478753,0.460166,45836469,-851945,-0.0388,0.03,5,127
2005-11-11,2006-03-10,0.551823,0.511534,38223161,-1539963,-0.073,0.03,5,119
2006-09-21,2007-03-05,0.461235,0.472024,42391528,457367,0.0234,0.03,5,165
2007-04-30,2007-08-16,0.619599,0.543497,32294753,-2457716,-0.1228,0.03,5,108
2007-09-26,2007-11-13,0.764418,0.648787,22961363,-2655059,-0.1513,0.03,5,48
2008-05-09,2008-07-01,0.524707,0.410775,28391116,-3234669,-0.2171,0.03,5,53
2009-04-08,2010-02-01,0.087691,0.196125,132993374,14420946,1.2365,0.03,5,299
2010-03-09,2010-05-10,0.247844,0.257065,105240690,970443,0.0372,0.03,5,62
2010-09-21,2011-03-17,0.269033,0.369431,100559339,10096026,0.3732,0.03,5,177
2011-04-29,2011-06-06,0.459347,0.392028,80875201,-5444401,-0.1466,0.03,5,38
2011-07-27,2011-08-03,0.456804,0.388907,69406905,-4712558,-0.1486,0.03,5,7
2011-10-31,2011-11-22,0.397529,0.310659,67901496,-5898590,-0.2185,0.03,5,22
2012-01-11,2012-05-18,0.379781,0.448571,55543140,3820829,0.1811,0.03,5,128
2012-08-15,2012-10-25,0.562144,0.522904,44321451,-1739210,-0.0698,0.03,5,71
